,DrawDate,PrizeCode,Digit
0,2013-03-06,1,3435
1,1992-08-01,3,3435
2,2001-09-15,S,3435
3,2004-10-24,S,3435
4,1999-01-06,S,3435
5,1988-03-06,C,3435
6,2004-11-10,C,3435
7,2006-09-23,C,3435
8,2009-01-25,C,3435
9,2013-03-10,C,3435
10,2015-12-27,C,3435
11,2016-05-15,C,3435
12,1998-05-06,C,3435
